scenario_id,emissionBased,sampleFraction,startDay,adlWorstCase,btcBaseRate,btcRateMultiplier,btcPositionMultiplier,btcReferenceNotional,ethBaseRate,ethRateMultiplier,ethPositionMultiplier,ethReferenceNotional,stakerPct,nTrades,nLiquidated,liqPct,finalLp,finalPaper,finalStakers,finalFrontend,traderLoss,traderWin,traderNet,lpGained,lpLost,lpMin,lpMax,totalVolume,maxOi,marginalMintRate,feesPerStakedPaper,costPerPaper,tailProgress,maxDebt,maxQueueLen,totalQueued,totalQueuePaid,queueRemaining,debtRemaining,avgQueueWait,finalBtcLp,finalEthLp,btcNTrades,ethNTrades,btcNLiq,ethNLiq,btcLiqPct,ethLiqPct,btcTraderLoss,ethTraderLoss,btcTraderWin,ethTraderWin
br=0.1_btcRN=100000_ethRN=100000_flow=100%_start=d112_adl=on_emOff,False,1.0,112,True,0.1,15000.0,1384615385.0,100000.0,0.1,15000.0,923076923.0,100000.0,0.01,2137926,1763563,82.49,5000000.0,6519693284.93,116662090.86,1371129.01,135083217.92,12049998.05,-123033219.87,17090591.72,12049998.05,2147179.67,5000000.0,157333703010.76,4353230033.61,22.5045,0.017894,0.020719,132956651.25,0.0,0,0,0,0,0.0,0,2579465.44,2461128.23,1711653,426273,1376567,386996,80.423,90.786,95813447.02,39269770.9,9802895.61,2247102.44
br=0.1_btcRN=100000_ethRN=100000_flow=100%_start=d112_adl=on_emOn,True,1.0,112,True,0.1,15000.0,1384615385.0,100000.0,0.1,15000.0,923076923.0,100000.0,0.01,2137926,1763563,82.49,5000000.0,4966173428.57,68206912.72,820016.15,80850310.54,6823381.67,-74026928.87,11846407.76,6823381.67,2147179.67,5000000.0,89404275039.94,4353230033.61,36.4634,0.013734,0.01628,78724990.46,0.0,0,0,0,0,0.0,0,2954929.21,2068096.87,1711653,426273,1376567,386996,80.423,90.786,57312633.18,23537677.36,5537582.92,1285798.75
br=0.1_btcRN=100000_ethRN=100000_flow=100%_start=d119_adl=off_emOff,False,1.0,119,False,0.1,15000.0,1384615385.0,100000.0,0.1,15000.0,923076923.0,100000.0,0.01,2037396,1675146,82.22,5000000.0,6351685882.09,109873869.43,1294160.22,127510525.63,11342495.99,-116168029.64,16380149.66,11342495.99,843385.91,5000000.0,148582215042.0,3911590082.12,23.9346,0.017298,0.020075,125283280.24,455.46,3,3,3,0,0.0,0.0,2856021.66,2181632.01,1635066,402330,1310074,365072,80.124,90.739,90492135.09,37018390.53,9185977.85,2156518.13
br=0.1_btcRN=100000_ethRN=100000_flow=100%_start=d119_adl=off_emOn,True,1.0,119,False,0.1,15000.0,1384615385.0,100000.0,0.1,15000.0,923076923.0,100000.0,0.01,2037396,1675146,82.22,5000000.0,4860751755.58,65497500.53,789327.03,77833176.75,6546349.19,-71286827.56,11567883.47,6546349.19,843385.91,5000000.0,86290472175.72,3911590082.12,37.6351,0.013475,0.016013,75607069.96,455.46,3,3,3,0,0.0,0.0,3181303.23,1840231.05,1635066,402330,1310074,365072,80.124,90.739,55149958.33,22683218.43,5265628.51,1280720.68
br=0.1_btcRN=100000_ethRN=100000_flow=100%_start=d119_adl=on_emOff,False,1.0,119,True,0.1,15000.0,1384615385.0,100000.0,0.1,15000.0,923076923.0,100000.0,0.01,2037396,1675146,82.22,5000000.0,6351685882.09,109873864.64,1294160.22,127510525.63,11342500.77,-116168024.86,16380154.45,11342500.77,843385.91,5000000.0,148582215042.0,3911590082.12,23.9346,0.017298,0.020075,125283280.24,455.46,3,3,3,0,0.0,0.0,2856021.66,2181632.02,1635066,402330,1310074,365072,80.124,90.739,90492135.09,37018390.53,9185978.31,2156522.46
br=0.1_btcRN=100000_ethRN=100000_flow=100%_start=d119_adl=on_emOn,True,1.0,119,True,0.1,15000.0,1384615385.0,100000.0,0.1,15000.0,923076923.0,100000.0,0.01,2037396,1675146,82.22,5000000.0,4860751755.58,65497498.41,789327.03,77833176.75,6546351.31,-71286825.44,11567885.6,6546351.31,843385.91,5000000.0,86290472175.72,3911590082.12,37.6351,0.013475,0.016013,75607069.96,455.46,3,3,3,0,0.0,0.0,3181303.23,1840231.06,1635066,402330,1310074,365072,80.124,90.739,55149958.33,22683218.43,5265628.91,1280722.4
br=0.1_btcRN=100000_ethRN=100000_flow=100%_start=d126_adl=off_emOff,False,1.0,126,False,0.1,15000.0,1384615385.0,100000.0,0.1,15000.0,923076923.0,100000.0,0.01,1937722,1594709,82.3,5000000.0,6211385466.84,104392179.33,1232065.52,121398323.02,10774078.17,-110624244.85,15810242.75,10774078.17,834101.92,5000000.0,141928770523.06,3911590082.12,25.201,0.016807,0.019544,119041195.39,0.0,0,0,0,0,0.0,0,2636495.17,2399669.4,1560928,376794,1250821,343888,80.133,91.267,86073163.46,35325159.56,8709631.74,2064446.44
br=0.1_btcRN=100000_ethRN=100000_flow=100%_start=d126_adl=off_emOn,True,1.0,126,False,0.1,15000.0,1384615385.0,100000.0,0.1,15000.0,923076923.0,100000.0,0.01,1937722,1594709,82.3,5000000.0,4774142397.42,63273682.96,764103.18,75351691.04,6313904.9,-69037786.15,11335077.44,6313904.9,834101.92,5000000.0,84195477266.69,3911590082.12,38.6605,0.013253,0.015783,72995617.3,0.0,0,0,0,0,0.0,0,2930730.77,2090441.77,1560928,376794,1250821,343888,80.133,91.267,53230026.67,22121664.38,5054701.43,1259203.46
br=0.1_btcRN=100000_ethRN=100000_flow=100%_start=d126_adl=on_emOff,False,1.0,126,True,0.1,15000.0,1384615385.0,100000.0,0.1,15000.0,923076923.0,100000.0,0.01,1937722,1594709,82.3,5000000.0,6211385466.84,104392174.54,1232065.52,121398323.02,10774082.95,-110624240.07,15810247.54,10774082.95,834101.92,5000000.0,141928770523.06,3911590082.12,25.201,0.016807,0.019544,119041195.39,0.0,0,0,0,0,0.0,0,2636494.72,2399669.87,1560928,376794,1250821,343888,80.133,91.267,86073163.46,35325159.56,8709632.19,2064450.76
br=0.1_btcRN=100000_ethRN=100000_flow=100%_start=d126_adl=on_emOn,True,1.0,126,True,0.1,15000.0,1384615385.0,100000.0,0.1,15000.0,923076923.0,100000.0,0.01,1937722,1594709,82.3,5000000.0,4774142397.42,63273680.75,764103.19,75351691.04,6313907.11,-69037783.94,11335079.66,6313907.11,834101.92,5000000.0,84195477266.69,3911590082.12,38.6605,0.013253,0.015783,72995617.3,0.0,0,0,0,0,0.0,0,2930730.77,2090441.78,1560928,376794,1250821,343888,80.133,91.267,53230026.67,22121664.38,5054701.87,1259205.24
